,Name,Date,Developer,Publisher,Genre,Price,Langs,DLC,Mature,Single,Score
5128,Marble Age,"4 Mar, 2015",Clarus Victoria,Clarus Victoria,"['Indie', 'Simulation', 'Strategy']",21.95,"['English', 'Russian', 'German', 'Spanish - Spain']",0,0,1.0,0.7917991690844557
5129,Warlords Battlecry III,"17 May, 2004",Infinite Interactive,Retroism,['Strategy'],36.95,['English'],0,0,1.0,0.7789978606999681
5130,Revenge of the Titans,"16 Mar, 2011",Puppygames,Puppygames,"['Action', 'Indie', 'Strategy']",55.95,['English'],1,0,1.0,0.7889157948112264
5131,Leanna's Slice of Life,"7 Mar, 2019",Acerola,Kagura Games,"['Indie', 'RPG']",55.95,"['English', 'Japanese', 'Simplified Chinese']",0,1,1.0,0.7883803927626888
5132,STORM AREA 51: AYY LMAO EDITION,"19 Sep, 2019",Agafonoff,Agafonoff,"['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']",3.5,"['English', 'Russian', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Greek', 'Danish', 'Simplified Chinese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']",0,0,1.0,0.7735048136477524
5133,東方剛欲異聞　～ 水没した沈愁地獄,"29 Oct, 2021",黄昏フロンティア,"SUNFISH Co., Ltd.","['Action', 'Indie']",73.95,"['English', 'Japanese']",0,0,1.0,0.7753312644037691
5134,Shadow Empire,"3 Dec, 2020",VR Designs,Slitherine Ltd.,"['RPG', 'Simulation', 'Strategy']",149.95,['English'],0,0,1.0,0.8071996136826546
5135,Splendor,"17 Sep, 2015",Days of Wonder,Days of Wonder,"['Casual', 'Strategy']",36.95,"['English', 'French', 'German']",1,0,1.0,0.7678239893052227
5136,Metaverse Keeper / 元能失控,"10 Apr, 2019",Sparks Games,Sparks Games,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Early Access']",55.95,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Russian']",0,0,1.0,0.7749332379469126
5137,DCL - The Game,"18 Feb, 2020",Drone Champions AG,Drone Champions League,"['Action', 'Adventure', 'Racing', 'Simulation', 'Sports']",120.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Korean', 'Simplified Chinese']",0,0,1.0,0.7631670087333559
