,Name,Date,Developer,Publisher,Genre,Price,Langs,DLC,Mature,Single,Total Review Cnt,Pos Review Cnt,Neg Review Cnt,Score
57,planetarian HD,"8 May, 2017",VisualArts/Key,VisualArts,"['Adventure', 'Casual', 'Simulation']",36.95,"['English', 'Simplified Chinese', 'Japanese', 'German', 'Traditional Chinese', 'French', 'Spanish - Spain', 'Spanish - Latin America']",0.0,0.0,1.0,1812.0,1792.0,20.0,0.9378649254169507
58,pureya,"26 Mar, 2021",Majorariatto,Majorariatto,"['Action', 'Casual', 'Indie']",21.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Vietnamese']",1.0,0.0,1.0,1795.0,1773.0,22.0,0.936628790113126
59,Touhou Hero of Ice Fairy: Prologue,"17 Dec, 2021",GAMEPULSE 游戏脉冲,GAMEPULSE 游戏脉冲,"['Action', 'Adventure', 'Free to Play']",,"['English', 'Simplified Chinese']",1.0,0.0,1.0,1659.0,1626.0,33.0,0.9285867889114201
60,Sabbat of the Witch,"26 Oct, 2018",Yuzusoft,NekoNyan Ltd.,"['Adventure', 'Casual', 'Simulation']",110.95,"['English', 'Japanese']",1.0,1.0,1.0,1785.0,1754.0,31.0,0.9319686185332474
61,HROT,"29 Jan, 2021",Spytihněv,Spytihněv,"['Action', 'Indie', 'Early Access']",73.95,"['English', 'Czech']",0.0,1.0,1.0,1916.0,1880.0,36.0,0.9317606965448912
62,Wobbledogs,"15 Mar, 2022",Animal Uprising,Secret Mode,"['Casual', 'Indie', 'Simulation']",73.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",1.0,0.0,1.0,1809.0,1773.0,36.0,0.9299031351680119
63,Cats Organized Neatly,"12 Oct, 2020",DU&I,DU&I,"['Casual', 'Indie']",10.95,"['English', 'Korean', 'Simplified Chinese', 'Italian', 'Japanese', 'Dutch', 'Russian', 'Ukrainian', 'Finnish', 'German', 'Spanish - Spain', 'Turkish', 'French', 'Czech', 'Norwegian', 'Swedish', 'Spanish - Latin America', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Greek', 'Hungarian']",1.0,0.0,1.0,1690.0,1661.0,29.0,0.9313131725945815
64,Touhou Kouryudou ~ Unconnected Marketeers.,"3 May, 2021",上海アリス幻樂団,"Mediascape Co., Ltd.","['Action', 'Indie']",55.95,"['English', 'Japanese']",0.0,0.0,1.0,1493.0,1464.0,29.0,0.9273422358398248
65,Epiphyllum in Love,"16 Mar, 2020",#workshop,NVLMaker,"['Adventure', 'Casual', 'Indie']",14.5,"['English', 'Simplified Chinese', 'Traditional Chinese']",1.0,1.0,1.0,1451.0,1434.0,17.0,0.9337300619498352
66,Monolith,"7 Jun, 2017",Team D-13,Team D-13,"['Action', 'Indie']",29.5,"['English', 'German']",1.0,0.0,1.0,1459.0,1434.0,25.0,0.929005691583126
67,Sakuya Izayoi Gives You Advice And Dabs,"10 Feb, 2020",Sigyaad Team,Sigyaad Team,['Casual'],3.5,"['English', 'Simplified Chinese', 'Spanish - Latin America', 'Portuguese - Brazil', 'Russian', 'Spanish - Spain', 'Korean', 'Japanese']",1.0,0.0,1.0,1631.0,1605.0,26.0,0.9318465338140288
68,Milo and the Magpies,"7 Sep, 2021",Johan Scherft,Second Maze,"['Adventure', 'Indie']",7.25,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese', 'Turkish', 'Vietnamese']",1.0,0.0,1.0,1362.0,1346.0,16.0,0.932653533472196
69,Chicory: A Colorful Tale,"10 Jun, 2021",Greg Lobanov,Finji,"['Adventure', 'Indie', 'RPG']",73.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian']",1.0,0.0,1.0,1571.0,1544.0,27.0,0.9301449514770808
70,Smile For Me,"31 May, 2019",Day Lane,LimboLane,"['Adventure', 'Casual', 'Indie']",47.95,['English'],1.0,0.0,1.0,1737.0,1687.0,50.0,0.9213415998566855
71,千面 Melancholy Love,"3 Jan, 2020",白露社,PeriScope Game,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",18.5,"['English', 'Simplified Chinese']",0.0,0.0,1.0,1327.0,1305.0,22.0,0.9279395924413227
72,Summer Pockets,"29 Jun, 2018",VisualArts/Key,VisualArts,"['Adventure', 'Casual']",169.95,"['English', 'Japanese', 'Simplified Chinese']",1.0,1.0,1.0,1264.0,1251.0,13.0,0.9326828384671375
73,Will You Snail?,"9 Mar, 2022",Jonas Tyroller,Jonas Tyroller,"['Action', 'Indie']",55.95,"['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Simplified Chinese', 'Korean', 'Russian', 'Italian', 'Czech', 'Dutch', 'Romanian', 'Arabic', 'Bulgarian', 'Finnish', 'Greek', 'Hungarian', 'Norwegian', 'Polish', 'Portuguese', 'Swedish', 'Turkish', 'Vietnamese']",1.0,0.0,1.0,1257.0,1236.0,21.0,0.9269149732978323
74,Walkabout Mini Golf VR,"15 Jul, 2021",Mighty Coconut,Mighty Coconut,"['Casual', 'Indie', 'Sports']",55.95,"['English', 'French', 'German', 'Japanese', 'Korean', 'Simplified Chinese', 'Spanish - Latin America']",1.0,0.0,1.0,1219.0,1199.0,20.0,0.926656287817707
75,Bang-On Balls: Chronicles,"3 Mar, 2021",Exit Plan Games,Exit Plan Games,"['Action', 'Casual', 'Indie', 'Early Access']",62.95,"['English', 'French', 'German', 'Polish', 'Russian', 'Portuguese - Brazil', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Korean', 'Turkish']",0.0,0.0,1.0,1227.0,1200.0,27.0,0.9218279994652979
76,Sucker for Love: First Date,"20 Jan, 2022",Akabaka,DreadXP,"['Indie', 'RPG', 'Simulation']",36.95,['English'],0.0,0.0,1.0,1169.0,1158.0,11.0,0.9320973776009981
77,Don't Escape: 4 Days to Survive,"11 Mar, 2019",scriptwelder,Armor Games Studios,"['Adventure', 'Indie']",55.95,"['English', 'Polish', 'German']",0.0,0.0,1.0,1439.0,1415.0,24.0,0.9291872059420789
78,Hello Charlotte EP3: Childhood's End,"4 Jan, 2018",etherane,etherane,"['Indie', 'RPG']",10.95,"['English', 'Russian', 'Simplified Chinese', 'Korean', 'Spanish - Spain', 'Portuguese - Brazil']",1.0,1.0,1.0,928.0,916.0,12.0,0.9248204926982353
79,Voidigo,"25 Feb, 2021",semiwork,semiwork,"['Action', 'Adventure', 'Indie', 'Early Access']",55.95,"['English', 'Swedish']",0.0,0.0,1.0,1028.0,1000.0,28.0,0.9141736888294485
80,Touhou Kanjuden ~ Legacy of Lunatic Kingdom.,"14 Aug, 2015",上海アリス幻樂団,"Mediascape Co., Ltd.","['Action', 'Indie']",55.95,"['English', 'Japanese']",0.0,0.0,1.0,821.0,806.0,15.0,0.9178533380282142
81,沉睡的法则 Things as They Are,"17 Jun, 2019",四块二茶会,四块二茶会,"['Adventure', 'Indie', 'RPG']",21.95,"['English', 'Simplified Chinese']",1.0,0.0,1.0,819.0,802.0,17.0,0.9156498218819304
82,9-nine-:Episode 2,"16 Aug, 2019",PALETTE,Sekai Project,"['Action', 'Casual', 'Simulation']",73.95,"['English', 'Japanese', 'Traditional Chinese']",0.0,1.0,1.0,748.0,735.0,13.0,0.9168090382481177
